Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
cfsbcksecapp01,Powered On,Normal,36.61  GB,19.31  GB,138,2060,1,cfsbckitiesx01.adcfs.capita.co.uk,Other (32-bit),cfsbcksecapp01,
cfsbcksecweb01,Powered On,Normal,208.61  GB,207.77  GB,184,4033,1,cfsbckitiesx04.adcfs.capita.co.uk,Other (32-bit),cfsbcksecweb01,
CFSBCKSEPAPP01,Powered On,Normal,42.16  GB,42.16  GB,46,1941,11,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSEPAPP01.adcfs.capita.co.uk,
CFSBCKSFTAPP01,Powered On,Normal,74.13  GB,74.13  GB,667,4137,17,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSFTAPP01.adcfs.capita.co.uk,Bank payment transfer using the SWIFT application.
cfsbckshmctx01,Powered On,Normal,43.61  GB,43.61  GB,69,3553,1,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckshmctx01,
cfsbcksigdcr01,Powered On,Normal,124.16  GB,75.81  GB,184,4148,10,cfsbcksglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbcksigdcr01.signal.ad.capita.co.uk,
cfsbcksigdcr02,Powered On,Normal,84.22  GB,29.88  GB,138,4166,13,cfsbcksglesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSIGDCR02.signal.ad.capita.co.uk,
cfsbcksigsps01,Powered On,Normal,232.17  GB,167.66  GB,598,32932,3,cfsbcksglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSIGSPS01.signal.ad.capita.co.uk,
cfsbcksigsps02,Powered On,Normal,332.54  GB,211.64  GB,345,32932,4,cfsbcksglesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSIGSPS02.signal.ad.capita.co.uk,
cfsbcksigsql01,Powered On,Normal,574.28  GB,351.65  GB,1426,39380,1,cfsbcksglesx02.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKSIGSQL01.signal.ad.capita.co.uk,
cfsbcksigsql02,Powered On,Normal,574.21  GB,407.25  GB,690,56581,0,cfsbcksglesx03.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKSIGSQL02.signal.ad.capita.co.uk,
cfsbcksigstg01,Powered On,Normal,167.22  GB,28.95  GB,115,2105,21,cfsbcksglesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbcksigstg01.signal.ad.capita.co.uk,
cfsbcksigweb01,Powered On,Normal,216.35  GB,126.57  GB,621,16470,8,cfsbcksglesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSIGWEB01.signal.ad.capita.co.uk,
cfsbcksigweb02,Powered On,Normal,216.15  GB,137.72  GB,483,16483,10,cfsbcksglesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSIGWEB02.signal.ad.capita.co.uk,
cfsbcksipsql01,Powered On,Normal,248.11  GB,66.27  GB,621,8245,6,cfsbcksglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),cfsbcksipsql01.signal.ad.capita.co.uk,
cfsbcksipsql02,Powered On,Normal,248.11  GB,248.11  GB,552,8250,3,cfsbcksglesx02.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKSIPSQL02.signal.ad.capita.co.uk,
CFSBCKSKTAPP01,Powered On,Normal,54.22  GB,25.76  GB,60,2510,4,cfsbckwblesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKSKTAPP01.adcfs.capita.co.uk,
CFSBCKSKTAPP02,Powered On,Normal,46.22  GB,31.9  GB,150,5474,0,cfsbckwblesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSBCKSKTAPP02.adcfs.capita.co.uk,
CFSBCKSKTAPP03,Powered On,Normal,64.22  GB,21.28  GB,60,2798,3,cfsbckwblesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKSKTAPP03.adcfs.capita.co.uk,
CFSBCKSKTORA01,Powered On,Normal,288.22  GB,288.22  GB,45,8233,1,cfsbckoraesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSBCKSKTORA01.adcfs.capita.co.uk,
CFSBCKSLWAPP01,Powered On,Normal,246.11  GB,218.83  GB,598,16395,64,cfsbckitiesx03.adcfs.capita.co.uk,Red Hat Enterprise Linux 5 (64-bit),cfsbckslwapp01,SolarWinds Virtualization Manager Master Server Appliance
CFSBCKSMRAPP01,Powered On,Normal,42.12  GB,24.67  GB,23,2080,6,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSMRAPP01,
CFSBCKSPOAPP01,Powered On,Warning,48.13  GB,34.19  GB,46,8247,0,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSPOAPP01.adcfs.capita.co.uk,
cfsbckspsapp01,Powered On,Normal,42.8  GB,34.33  GB,69,2134,16,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckspsapp01.adcfs.capita.co.uk,
CFSBCKSQLWIT01,Powered On,Normal,134.22  GB,97.41  GB,437,4161,3,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSQLWIT01.adcfs.capita.co.uk,
cfsbckstrapp01,Powered On,Warning,42.11  GB,42.11  GB,46,2069,6,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckstrapp01.adcfs.capita.co.uk,
cfsbcktfsapp01,Powered On,Normal,50.8  GB,50.8  GB,115,2147,15,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 (32-bit),CFSBCKTFSAPP01.adcfs.capita.co.uk,Prod TFS Server for Bristol
CFSBCKTFSAPP02,Powered On,Normal,136.23  GB,136.23  GB,115,6220,9,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKTFSAPP02.adcfs.capita.co.uk,
cfsbcktfssql01,Powered On,Normal,142.12  GB,142.12  GB,322,2080,21,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbcktfssql01.adcfs.capita.co.uk,
CFSBCKTFSSQL02,Powered On,Normal,771.24  GB,771.24  GB,299,6222,9,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKTFSSQL02.adcfs.capita.co.uk,
cfsbcktikapp01,Powered On,Normal,76.11  GB,76.09  GB,92,1049,10,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbcktikapp01.adcfs.capita.co.uk,
cfsbcktsapp01,Powered On,Normal,241.57  GB,241.57  GB,2640,22039,4,cfsbckrdsesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbcktsapp01.adcfs.capita.co.uk,DO NOT MIGRATE ANY OTHER GUESTS TO HOST
CFSBCKUPTAPP01,Powered On,Normal,168.22  GB,80.61  GB,782,8278,20,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKUPTAPP01.adcfs.capita.co.uk,
cfsbckutoora01,Powered On,Normal,179.11  GB,59.02  GB,45,4121,4,cfsbckoraesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckutoora01.adcfs.capita.co.uk,
CFSBCKVFXAPP01,Powered On,Normal,32.11  GB,32.11  GB,92,1524,1,cfsbckitiesx04.adcfs.capita.co.uk,CentOS 4/5/6/7 (64-bit),cfsbckvfaxapp01.adcfs.capita.co.uk,
CFSBCKVFXAPP02,Powered On,Normal,32.11  GB,32.11  GB,92,1554,0,cfsbckitiesx06.adcfs.capita.co.uk,CentOS 4/5/6/7 (64-bit),CFSBCKVFXAPP02,
CFSBCKVPEAPP01,Powered On,Normal,446.13  GB,312.37  GB,161,6201,3,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKVPEAPP01.adcfs.capita.co.uk,
CFSBCKVSSAPP01,Powered On,Normal,63.11  GB,63.11  GB,69,2078,7,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckvssapp01.adcfs.capita.co.uk,IT Infrastructure - Visual SourceSafe 6.0d Repository Server - Alan Rogers \ Martin Bailey
CFSBCKVSVAPP01,Powered On,Normal,44.13  GB,41.59  GB,1127,4139,21,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKVSVAPP01.adcfs.capita.co.uk,"Visa Versa application server , used to move file."
CFSBCKVSVAPP02,Powered On,Normal,82.16  GB,27.65  GB,69,2082,19,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKVSVAPP02.adcfs.capita.co.uk,
CFSBCKWBSSQL01,Powered On,Normal,77.11  GB,71.26  GB,1012,2029,34,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKWBSSQL01.adcfs.capita.co.uk,IT Infrastructure - WebSense Reporting Server - Andy Emeny-Smith
cfsbckwebapp01,Powered On,Normal,31.11  GB,19.92  GB,46,1050,12,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckwebapp01.adcfs.capita.co.uk,
cfsbckxcpapp01,Powered On,Normal,34.11  GB,34.11  GB,851,4119,5,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckxcpapp01.adcfs.capita.co.uk,
CFSBCKXCPAPP03,Powered On,Normal,104.11  GB,104.11  GB,391,4134,10,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKXCPAPP03.adcfs.capita.co.uk,Project for Ronald Lewis
CFSBCKXCPSQL03,Powered On,Normal,354.11  GB,354.11  GB,437,4133,32,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKXCPSQL03.adcfs.capita.co.uk,Project for Ronald Lewis
cfsbeck2db,Powered On,Normal,170.84  GB,170.84  GB,138,4126,1,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeck2db.adcfs.capita.co.uk,
cfsbeck3db,Powered On,Normal,81.73  GB,81.73  GB,184,3088,4,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeck3db.adcfs.capita.co.uk,
cfsbeckacs1,Powered On,Normal,138.17  GB,86.4  GB,230,3613,7,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckacs1.adcfs.capita.co.uk,
cfsbeckcdiv01,Powered On,Normal,41.57  GB,41.57  GB,207,3150,8,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSBECKCDIV01.adcfs.capita.co.uk,
CFSBECKCFORM1,Powered On,Normal,54.27  GB,54.27  GB,184,3604,1,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckcform1.adcfs.capita.co.uk,
CFSBECKCFORM2,Powered On,Normal,72.63  GB,54.49  GB,138,2240,0,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckcform2.adcfs.capita.co.uk,
CFSBECKCTX1,Powered On,Normal,71.44  GB,71.44  GB,184,3622,5,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckctx1.adcfs.capita.co.uk,
CFSBECKCTX2,Powered On,Normal,60  GB,60  GB,207,4142,6,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKCTX2.adcfs.capita.co.uk,
CFSBECKCTX3,Powered On,Normal,86.8  GB,86.8  GB,253,3624,3,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKCTX3.adcfs.capita.co.uk,
CFSBECKCTX4,Powered On,Normal,86.8  GB,86.8  GB,230,3624,3,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKCTX4.adcfs.capita.co.uk,
CFSBECKCTX5,Powered On,Normal,76.79  GB,76.79  GB,230,3625,2,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKCTX5.adcfs.capita.co.uk,
CFSBECKCTX7,Powered On,Normal,71.95  GB,71.95  GB,253,4140,7,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKCTX7.adcfs.capita.co.uk,
CFSBECKCTX8,Powered On,Normal,87.3  GB,87.3  GB,138,4139,1,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKCTX8.adcfs.capita.co.uk,
CFSBECKCTX9,Powered On,Normal,87.3  GB,87.3  GB,184,3292,2,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKCTX9.adcfs.capita.co.uk,
CFSBECKFS01,Powered On,Normal,1.52  TB,1.52  TB,2139,6106,15,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSBECKFS01.adcfs.capita.co.uk,
cfsbeckftp,Powered On,Normal,94.26  GB,94.26  GB,207,3686,6,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckftp,
CFSBECKGSPSQLDR,Powered On,Normal,73.39  GB,73.39  GB,897,2650,4,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckgspsqldr.GSPLVE.CAPITA.CO.UK,
cfsbecklpbus,Powered On,Normal,54.11  GB,54.11  GB,184,4109,2,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbecklpbus.adcfs.capita.co.uk,Huddersfield Production LP Application Server.
cfsbecklpweb,Powered On,Normal,56.26  GB,56.26  GB,69,2068,6,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKLPWEB.adcfs.capita.co.uk,Huddersfield Production LP Web Server
cfsbecklpwww,Powered On,Normal,70.13  GB,70.13  GB,368,2073,7,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbecklpwww.adcfs.capita.co.uk,
cfsbeckmon1,Powered On,Normal,140.83  GB,58.24  GB,184,4132,4,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBECKMON1.adcfs.capita.co.uk,
cfsbeckmon2,Powered On,Normal,293.57  GB,255.16  GB,2898,3616,19,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckmon2.adcfs.capita.co.uk,
CFSBECKMSAPP01,Powered On,Normal,42.11  GB,16.05  GB,414,2054,44,cfsbckitiesx06.adcfs.capita.co.uk,Other Linux (32-bit),mailsweeper2.capitaregistrars.com,
cfsbecksql01,Powered On,Normal,1.43  TB,1.43  TB,1173,12364,3,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfsbecksql01.adcfs.capita.co.uk,
CFSBECKSSPF01,Powered On,Normal,39.37  GB,39.37  GB,1748,2078,32,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSBECKSSPF01.adcfs.capita.co.uk,
cfsbecksysbus,Powered Off,Normal,37.82  GB,21.23  GB,0,0,0,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),,F1103766
cfsbecksysweb,Powered Off,Normal,37.58  GB,17.63  GB,0,0,0,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows 2000 Server,,F1103766
cfsbeckuvsched,Powered On,Normal,37.11  GB,37.11  GB,3013,3086,7,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckuvsched.adcfs.capita.co.uk,"Utopia V - Live Scheduler Server - Christian Needs, Chris Bostin, Nick Harman"
cfsbeckweb,Powered On,Normal,47.17  GB,47.17  GB,92,3110,4,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbeckweb.adcfs.capita.co.uk,
CFSBECKWK10523,Powered On,Normal,39.38  GB,39.38  GB,920,2064,11,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSBECKWK10523.adcfs.capita.co.uk,
cfsbftap01,Powered On,Normal,56.72  GB,56.72  GB,138,2116,4,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbftap01.adcfs.capita.co.uk,
CFSBFTAP02,Powered On,Normal,57.22  GB,57.22  GB,69,2659,7,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbftap02.adcfs.capita.co.uk,
CFSBRIHVAPP01,Powered On,Normal,33.72  GB,33.72  GB,207,3589,7,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfsbrihvapp01.adcfs.capita.co.uk,IT Development  (SS)
CFSDKPITIDC01,Powered On,Normal,74.13  GB,49.96  GB,149,4141,10,cfsdkpitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSDKPITIDC01.adcfs.capita.co.uk,
CFSDKPITIDC02,Powered On,Normal,74.13  GB,51.56  GB,239,4140,9,cfsdkpitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSDKPITIDC02.adcfs.capita.co.uk,
CFSDKPITINFS02,Powered On,Normal,644.14  GB,327.82  GB,59,4135,7,cfsdkpitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSDKPITINFS02.adcfs.capita.co.uk,
CFSDKPITIPRI02,Powered On,Normal,44.13  GB,43.71  GB,1406,4138,48,cfsdkpitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSDKPITIPRI02.adcfs.capita.co.uk,
CFSIBXITIDC01,Powered On,Normal,74.13  GB,48.72  GB,119,4141,8,cfsdkpitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSIBXITIDC01.adcfs.capita.co.uk,
CFSIBXITIDC02,Powered On,Normal,74.13  GB,50.13  GB,59,4140,8,cfsdkpitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSIBXITIDC02.adcfs.capita.co.uk,
CFSIBXVSSAPP01,Powered On,Alert,138.8  GB,138.8  GB,192,1788,13,cfsldsesxapp03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSIBXVSSAPP01.adcfs.capita.co.uk,
CFSLDSCFGBLD01,Powered On,Alert,654.16  GB,342.67  GB,168,2140,4,cfsldsesxapp03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSLDSCFGBLD01.adcfs.capita.co.uk,
CFSLDSDLPAPP01,Powered On,Alert,1.06  TB,1.06  TB,144,2704,5,cfsldsesxapp03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSLDSDLPAPP01.adcfs.capita.co.uk,Dolphin Application and Docs Store
CFSLDSDLPAPP02,Powered On,Normal,84.11  GB,84.11  GB,1032,3147,10,cfsldsesxapp02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSLDSDLPAPP02.adcfs.capita.co.uk,Dolphin Application Server
CFSLDSDLPSQL01,Powered On,Normal,2.09  TB,2.08  TB,348,6960,27,cfsldsesxapp01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSLDSDLPSQL01.adcfs.capita.co.uk,Dolphin Prod SQL
CFSLDSITIDC01,Powered On,Alert,114.16  GB,49.77  GB,240,3635,7,cfsldsesxapp03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSLDSITIDC01.adcfs.capita.co.uk,
CFSLDSITIDC02,Powered On,Alert,114.22  GB,53.02  GB,158,3759,10,cfsldsesxapp01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSLDSITIDC02.adcfs.capita.co.uk,
CFSLDSITIPRI01,Powered On,Normal,144.19  GB,42.13  GB,2472,3903,13,cfsldsesxapp02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSLDSITIPRI01.adcfs.capita.co.uk,
CFSLDSSAPPRI01,Powered On,Alert,94.13  GB,94.13  GB,624,3600,16,cfsldsesxapp03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSLDSSAPPRI01.adcfs.capita.co.uk,
cfsldssecapp01,Powered On,Normal,37.11  GB,16.91  GB,96,2091,2,cfsldsesxapp02.adcfs.capita.co.uk,Other 2.6.x Linux (64-bit),CFSLDSSCAPP01,"The TenableAppliance is a browser-managed virtual machine that hosts various Tenable enterprise applications including Nessus, SecurityCenter (SC), and the Passive Vulnerability Scanner (PVS).

Please email any comments and suggestions to support@tenable.com."
CFSPSMCRTAPP01,Powered On,Normal,31.3  GB,16.97  GB,68,604,23,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSPSMCRTAPP01.prism.capita.co.uk,
CFSPSMCTXAPP01,Powered On,Normal,59.11  GB,56.27  GB,551,4139,25,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSPSMCTXAPP01.prism.capita.co.uk,
CFSPSMCTXAPP02,Powered On,Normal,59.18  GB,57.95  GB,965,4136,38,cfsbckpsmesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfspsmctxapp02.prism.capita.co.uk,
CFSPSMCTXAPP03,Powered On,Normal,64.11  GB,53.35  GB,1701,4138,42,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfspsmctxapp03.prism.capita.co.uk,
CFSPSMCTXAPP04,Powered On,Normal,53.69  GB,25.39  GB,91,3613,2,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSPSMCTXAPP04.prism.capita.co.uk,
CFSPSMCTXAPP05,Powered On,Normal,53.69  GB,24.02  GB,91,3613,4,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSPSMCTXAPP05.prism.capita.co.uk,
CFSPSMCTXAPP06,Powered On,Normal,53.69  GB,23.64  GB,91,3615,1,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSPSMCTXAPP06.prism.capita.co.uk,
cfspsmfs01,Powered On,Normal,496.22  GB,485.39  GB,91,6220,4,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfspsmfs01.prism.capita.co.uk,
CFSPSMMDSAPP01,Powered On,Normal,294.11  GB,258.06  GB,68,4100,13,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSPSMmdsAPP01.prism.capita.co.uk,
cfspsmoptapp01,Powered On,Normal,31.82  GB,11.47  GB,45,1096,10,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfspsmoptapp01.adcfs.capita.co.uk,
cfspsmoptapp02,Powered On,Normal,61.8  GB,52.01  GB,22,1073,10,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfspsmoptapp02.prism.capita.co.uk,
CFSPSMREQAPP01,Powered On,Normal,31.11  GB,20.42  GB,68,1048,38,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSPSMREQAPP01.prism.capita.co.uk,
CFSPSMSPSAPP01,Powered On,Normal,82.8  GB,82.67  GB,873,2143,36,cfsbckpsmesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSPSMSPSAPP01.prism.capita.co.uk,
CFSPSMSQL01,Powered On,Normal,2.19  TB,2.04  TB,4069,12288,9,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSPSMSQL01.prism.capita.co.uk,
CFSPSMSQL02,Powered On,Normal,104.11  GB,27.2  GB,68,4084,5,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSPSMSQL02.prism.capita.co.uk,
CFSPSMTFBAPP01,Powered On,Normal,282.8  GB,64.52  GB,22,2141,9,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSPSMTFBAPP01.prism.capita.co.uk,
CFSPSMTFSAPP01,Powered On,Normal,34.8  GB,34.8  GB,114,4198,8,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSPSMTFSAPP01.prism.capita.co.uk,
cfspsmvdi0003,Powered On,Normal,46.13  GB,45.41  GB,91,6197,4,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),cfspsmvdi0003.prism.capita.co.uk,
CFSPSMVDI00099,Powered On,Normal,86.12  GB,36.28  GB,68,6184,6,cfsbckpsmesx02.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSPSMVDI00099.prism.capita.co.uk,
CFSPSMVDI00100,Powered On,Normal,46.13  GB,35.45  GB,68,6192,19,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSPSMVDI00100.prism.capita.co.uk,
CFSPSMXPD00004,Powered On,Normal,52.8  GB,52.78  GB,344,2109,15,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfspsmxpd00004.prism.capita.co.uk,
CFSPSMXPD00012,Powered On,Normal,53.61  GB,53.58  GB,597,3101,16,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfspsmxpd00012.prism.capita.co.uk,
CFSPSMXPD00015,Powered On,Normal,53.61  GB,53.59  GB,505,3092,8,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfspsmxpd00015.prism.capita.co.uk,
CFSPSMXPD00033,Powered On,Normal,73.61  GB,73.59  GB,551,3110,25,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSPSMXPD00033.prism.capita.co.uk,
cfspsmxpd00037,Powered On,Normal,16.61  GB,16.6  GB,45,1564,2,cfsbckpsmesx02.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfspsmxpd00037.prism.capita.co.uk,
cfspsmxpd00038,Powered On,Normal,31.65  GB,31.65  GB,1379,1564,70,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfspsmxpd00038.prism.capita.co.uk,
